,service_stock,repair_stock
0,0,8
1,0,6
2,0,4
3,0,2
4,0,5
5,0,3
6,0,1
7,0,0
8,0,0
9,0,3
10,0,1
11,0,0
12,0,0
13,0,0
14,0,3
15,0,1
16,0,0
17,0,0
18,0,0
19,0,3
20,0,1
21,0,0
22,0,0
23,0,0
24,0,3
25,0,1
26,0,0
27,0,0
28,0,0
29,0,3
30,0,1
31,0,0
32,0,0
33,0,0
34,0,3
35,0,1
36,0,0
37,0,0
38,0,0
39,0,3
40,0,1
41,0,0
42,0,0
43,0,0
44,0,3
45,0,1
46,0,0
47,0,0
48,0,0
49,0,3
50,0,1
51,0,0
52,0,0
53,0,0
54,0,3
55,0,1
56,0,0
57,0,0
58,0,0
59,0,3
60,0,1
61,0,0
62,0,0
63,0,0
64,0,3
65,0,1
66,0,0
67,0,0
68,0,0
69,0,3
70,0,1
71,0,0
72,0,0
73,0,0
74,0,3
75,0,1
76,0,0
77,0,0
78,0,0
79,0,3
80,0,1
81,0,0
82,0,0
83,0,0
84,0,3
85,0,1
86,0,0
87,0,0
88,0,0
89,0,3
90,0,1
91,0,0
92,0,0
93,0,0
94,0,3
95,0,1
96,0,0
97,0,0
98,0,0
99,0,3
100,0,1
101,0,0
102,0,0
103,0,0
104,0,3
105,0,1
106,0,0
107,0,0
108,0,0
109,0,3
110,0,1
111,0,0
112,0,0
113,0,0
114,0,3
115,0,1
116,0,0
117,0,0
118,0,0
119,0,3
120,0,1
121,0,0
122,0,0
123,0,0
124,0,3
125,0,1
126,0,0
127,0,0
128,0,0
129,0,3
130,0,1
131,0,0
132,0,0
133,0,0
134,0,3
135,0,1
136,0,0
137,0,0
138,0,0
139,0,3
140,0,1
141,0,0
142,0,0
143,0,0
144,0,3
145,0,1
146,0,0
147,0,0
148,0,0
149,0,3
150,0,1
151,0,0
152,0,0
153,0,0
154,0,3
155,0,1
156,0,0
157,0,0
158,0,0
159,0,3
160,0,1
161,0,0
162,0,0
163,0,0
164,0,3
165,0,1
166,0,0
167,0,0
168,0,0
169,0,3
170,0,1
171,0,0
172,0,0
173,0,0
174,0,3
175,0,1
176,0,0
177,0,0
178,0,0
179,0,3
180,0,1
181,0,0
182,0,0
183,0,0
184,0,3
185,0,1
186,0,0
187,0,0
188,0,0
189,0,3
190,0,1
191,0,0
192,0,0
193,0,0
194,0,3
195,0,1
196,0,0
197,0,0
198,0,0
199,0,3
200,0,1
201,0,0
202,0,0
203,0,0
204,0,3
205,0,1
206,0,0
207,0,0
208,0,0
209,0,3
210,0,1
211,0,0
212,0,0
213,0,0
214,0,3
215,0,1
216,0,0
217,0,0
218,0,0
219,0,3
220,0,1
221,0,0
222,0,0
223,0,0
224,0,3
225,0,1
226,0,0
227,0,0
228,0,0
229,0,3
230,0,1
231,0,0
232,0,0
233,0,0
234,0,3
235,0,1
236,0,0
237,0,0
238,0,0
239,0,3
240,0,1
241,0,0
242,0,0
243,0,0
244,0,3
245,0,1
246,0,0
247,0,0
248,0,0
249,0,3
250,0,1
251,0,0
252,0,0
253,0,0
254,0,3
255,0,1
256,0,0
257,0,0
258,0,0
259,0,3
260,0,1
261,0,0
262,0,0
263,0,0
264,0,3
265,0,1
266,0,0
267,0,0
268,0,0
269,0,3
270,0,1
271,0,0
272,0,0
273,0,0
274,0,3
275,0,1
276,0,0
277,0,0
278,0,0
279,0,3
280,0,1
281,0,0
282,0,0
283,0,0
284,0,3
285,0,1
286,0,0
287,0,0
288,0,0
289,0,3
290,0,1
291,0,0
292,0,0
293,0,0
294,0,3
295,0,1
296,0,0
297,0,0
298,0,0
299,0,3
300,0,1
301,0,0
302,0,0
303,0,0
304,0,3
305,0,1
306,0,0
307,0,0
308,0,0
309,0,3
310,0,1
311,0,0
312,0,0
313,0,0
314,0,3
315,0,1
316,0,0
317,0,0
318,0,0
319,0,3
320,0,1
321,0,0
322,0,0
323,0,0
324,0,3
325,0,1
326,0,0
327,0,0
328,0,0
329,0,3
330,0,1
331,0,0
332,0,0
333,0,0
334,0,3
335,0,1
336,0,0
337,0,0
338,0,0
339,0,3
340,0,1
341,0,0
342,0,0
343,0,0
344,0,3
345,0,1
346,0,0
347,0,0
348,0,0
349,0,3
350,0,1
351,0,0
352,0,0
353,0,0
354,0,3
355,0,1
356,0,0
357,0,0
358,0,0
359,0,3
360,0,1
361,0,0
362,0,0
363,0,0
364,0,3
365,0,1
366,0,0
367,0,0
368,0,0
369,0,3
370,0,1
371,0,0
372,0,0
373,0,0
374,0,3
375,0,1
376,0,0
377,0,0
378,0,0
379,0,3
380,0,1
381,0,0
382,0,0
383,0,0
384,0,3
385,0,1
386,0,0
387,0,0
388,0,0
389,0,3
390,0,1
391,0,0
392,0,0
393,0,0
394,0,3
395,0,1
396,0,0
397,0,0
398,0,0
399,0,3
400,0,1
401,0,0
402,0,0
403,0,0
404,0,3
405,0,1
406,0,0
407,0,0
408,0,0
409,0,3
410,0,1
411,0,0
412,0,0
413,0,0
414,0,3
415,0,1
416,0,0
417,0,0
418,0,0
419,0,3
420,0,1
421,0,0
422,0,0
423,0,0
424,0,3
425,0,1
426,0,0
427,0,0
428,0,0
429,0,3
430,0,1
431,0,0
432,0,0
433,0,0
434,0,3
435,0,1
436,0,0
437,0,0
438,0,0
439,0,3
440,0,1
441,0,0
442,0,0
443,0,0
444,0,3
445,0,1
446,0,0
447,0,0
448,0,0
449,0,3
450,0,1
451,0,0
452,0,0
453,0,0
454,0,3
455,0,1
456,0,0
457,0,0
458,0,0
459,0,3
460,0,1
461,0,0
462,0,0
463,0,0
464,0,3
465,0,1
466,0,0
467,0,0
468,0,0
469,0,3
470,0,1
471,0,0
472,0,0
473,0,0
474,0,3
475,0,1
476,0,0
477,0,0
478,0,0
479,0,3
480,0,1
481,0,0
482,0,0
483,0,0
484,0,3
485,0,1
486,0,0
487,0,0
488,0,0
489,0,3
490,0,1
491,0,0
492,0,0
493,0,0
494,0,3
495,0,1
496,0,0
497,0,0
498,0,0
499,0,3
500,0,1
501,0,0
502,0,0
503,0,0
504,0,3
505,0,1
506,0,0
507,0,0
508,0,0
509,0,3
510,0,1
511,0,0
512,0,0
513,0,0
514,0,3
515,0,1
516,0,0
517,0,0
518,0,0
519,0,3
520,0,1
521,0,0
522,0,0
523,0,0
524,0,3
525,0,1
526,0,0
527,0,0
528,0,0
529,0,3
530,0,1
531,0,0
532,0,0
533,0,0
534,0,3
535,0,1
536,0,0
537,0,0
538,0,0
539,0,3
540,0,1
541,0,0
542,0,0
543,0,0
544,0,3
545,0,1
546,0,0
547,0,0
548,0,0
549,0,3
550,0,1
551,0,0
552,0,0
553,0,0
554,0,3
555,0,1
556,0,0
557,0,0
558,0,0
559,0,3
560,0,1
561,0,0
562,0,0
563,0,0
564,0,3
565,0,1
566,0,0
567,0,0
568,0,0
569,0,3
570,0,1
571,0,0
572,0,0
573,0,0
574,0,3
575,0,1
576,0,0
577,0,0
578,0,0
579,0,3
580,0,1
581,0,0
582,0,0
583,0,0
584,0,3
585,0,1
586,0,0
587,0,0
588,0,0
589,0,3
590,0,1
591,0,0
592,0,0
593,0,0
594,0,3
595,0,1
596,0,0
597,0,0
598,0,0
599,0,3
600,0,1
601,0,0
602,0,0
603,0,0
604,0,3
605,0,1
606,0,0
607,0,0
608,0,0
609,0,3
610,0,1
611,0,0
612,0,0
613,0,0
614,0,3
615,0,1
616,0,0
617,0,0
618,0,0
619,0,3
620,0,1
621,0,0
622,0,0
623,0,0
624,0,3
625,0,1
626,0,0
627,0,0
628,0,0
629,0,3
630,0,1
631,0,0
632,0,0
633,0,0
634,0,3
635,0,1
636,0,0
637,0,0
638,0,0
639,0,3
640,0,1
641,0,0
642,0,0
643,0,0
644,0,3
645,0,1
646,0,0
647,0,0
648,0,0
649,0,3
650,0,1
651,0,0
652,0,0
653,0,0
654,0,3
655,0,1
